TreeID,Species,Plot,prev_dbh,next_dbh_pred,delta_pred,next_dbh_final,year_step
1,sugar maple,Upper,27.432,26.785111982690573,-0.6468880173094256,27.432,1
10,sugar maple,Upper,36.576,34.814307696943644,-1.761692303056357,36.576,1
100,sugar maple,Upper,22.86,22.535650356591187,-0.3243496434088122,22.86,1
108,black birch,Lower,8.255,6.016920780963536,-2.2380792190364645,8.255,1
109,black birch,Lower,6.8326,4.8914689621770915,-1.9411310378229087,6.8326,1
11,sugar maple,Upper,41.020999999999994,38.78471118102482,-2.2362888189751757,41.020999999999994,1
110,red oak,Lower,65.0494,64.31713132783841,-0.7322686721615952,65.0494,1
115,black birch,Lower,6.8580000000000005,4.911566316083993,-1.9464336839160072,6.8580000000000005,1
116,white pine,Lower,41.91,32.88827130885889,-9.021728691141107,41.91,1
117,red oak,Lower,75.18400000000001,72.7368291533268,-2.4471708466732167,75.18400000000001,1
118,black birch,Lower,3.9116,2.6379931731770903,-1.2736068268229097,3.9116,1
119,pignut hickory,Lower,5.3340000000000005,2.417520905404647,-2.9164790945953536,5.3340000000000005,1
12,sugar maple,Upper,26.3144,25.750857620467603,-0.5635423795323966,26.3144,1
120,mockernut hickory,Lower,10.414,7.107867425438412,-3.3061325745615875,10.414,1
121,musclewood,Lower,4.3434,0.3557505467432921,-3.987649453256708,4.3434,1
122,white pine,Lower,31.496,25.601359682039796,-5.894640317960203,31.496,1
123,black birch,Lower,6.9088,4.951761023897793,-1.957038976102207,6.9088,1
125,musclewood,Lower,3.81,0.024764236989330723,-3.7852357630106694,3.81,1
127,black birch,Lower,14.478000000000002,11.164715145907273,-3.3132848540927284,14.478000000000002,1
128,black birch,Lower,24.460200000000004,19.824440118844784,-4.63575988115522,24.460200000000004,1
129,musclewood,Lower,21.8694,13.783362080896747,-8.086037919103251,21.8694,1
13,sugar maple,Upper,37.4396,35.57808599240509,-1.8615140075949057,37.4396,1
130,musclewood,Lower,23.571199999999997,14.881478893510003,-8.689721106489994,23.571199999999997,1
131,musclewood,Lower,17.526,10.333050904302596,-7.192949095697404,17.526,1
132,black birch,Lower,10.668,7.926169402119115,-2.7418305978808846,10.668,1
133,black birch,Lower,11.8872,8.926681949602441,-2.9605180503975586,11.8872,1
135,white pine,Lower,11.938,11.389467254416004,-0.5485327455839961,11.938,1
138,shagbark hickory,Lower,43.561,40.796428692676,-2.7645713073239975,43.561,1
14,sugar maple,Upper,41.91,39.621096103048096,-2.2889038969519007,41.91,1
140,black birch,Lower,8.9916,6.59974404426366,-2.3918559557363404,8.9916,1
141,musclewood,Lower,5.7912,1.3560711928652704,-4.4351288071347295,5.7912,1
143,black birch,Lower,5.6896,4.005535196158819,-1.6840648038411814,5.6896,1
146,dogwood,Lower,2.9463999999999997,0.0,-2.9463999999999997,2.9463999999999997,1
148,black birch,Lower,8.229600000000001,5.996823427056637,-2.232776572943364,8.229600000000001,1
149,black birch,Lower,30.3276,24.051806757974035,-6.275793242025966,30.3276,1
15,sugar maple,Upper,17.907,17.215336770028948,-0.6916632299710521,17.907,1
150,black birch,Lower,9.0424,6.639938752077461,-2.40246124792254,9.0424,1
153,black birch,Lower,5.460999999999999,3.828846510323786,-1.6321534896762135,5.460999999999999,1
154,black birch,Lower,5.08,3.5343653672653956,-1.5456346327346044,5.08,1
157,black birch,Lower,6.502400000000001,4.632203726828254,-1.8701962731717465,6.502400000000001,1
160,red maple,Lower,5.8166,3.5546980620779505,-2.2619019379220497,5.8166,1
161,black birch,Lower,8.89,6.519354628636059,-2.370645371363942,8.89,1
163,musclewood,Lower,7.5692,2.5948709748632246,-4.974329025136775,7.5692,1
164,black birch,Lower,10.795,8.026656171653618,-2.7683438283463815,10.795,1
165,black birch,Lower,9.8552,7.283054077098286,-2.572145922901714,9.8552,1
166,black birch,Lower,10.16,7.524222323981096,-2.635777676018904,10.16,1
167,sugar maple,Upper,7.239000000000001,6.740008453702818,-0.4989915462971828,7.239000000000001,1
168,sugar maple,Upper,6.6293999999999995,6.190253462349928,-0.43914653765007117,6.6293999999999995,1
17,sugar maple,Upper,58.0898,53.634578811591155,-4.455221188408842,58.0898,1
171,sugar maple,Upper,15.6972,14.904374618081125,-0.7928253819188757,15.6972,1
172,sugar maple,Upper,53.848,50.17577470720927,-3.6722252927907277,53.848,1
173,sugar maple,Upper,31.75,30.61001168794627,-1.139988312053731,31.75,1
174,sugar maple,Upper,23.368,23.04376361656135,-0.3242363834386488,23.368,1
175,sugar maple,Upper,12.7508,11.915577006303462,-0.8352229936965383,12.7508,1
178,sugar maple,Upper,38.608,36.6114330980294,-1.9965669019705956,38.608,1
18,norway maple,Upper,10.668,9.28450355979307,-1.3834964402069296,10.668,1
180,red maple,Upper,12.9032,10.674813368870312,-2.2283866311296876,12.9032,1
181,sugar maple,Upper,45.796200000000006,43.26066126578344,-2.5355387342165656,45.796200000000006,1
182,sugar maple,Upper,15.621,14.825499936257923,-0.795500063742077,15.621,1
183,sugar maple,Upper,28.447999999999997,27.73642409476664,-0.7115759052333566,28.447999999999997,1
184,sugar maple,Upper,10.668,9.91973914735917,-0.7482608526408292,10.668,1
186,sugar maple,Upper,35.433,33.81487025882169,-1.6181297411783078,35.433,1
187,sugar maple,Upper,17.7038,17.00123139061024,-0.7025686093897612,17.7038,1
188,sugar maple,Upper,50.673,47.45818528470018,-3.2148147152998234,50.673,1
189,sugar maple,Upper,28.3464,27.641292883559036,-0.7051071164409635,28.3464,1
19,sugar maple,Upper,40.132000000000005,37.959277148843725,-2.17272285115628,40.132000000000005,1
191,sugar maple,Upper,9.398,8.73731031497292,-0.66068968502708,9.398,1
192,sugar maple,Upper,28.956000000000003,28.17873966866147,-0.7772603313385318,28.956000000000003,1
193,sugar maple,Upper,27.686,27.02294001070959,-0.6630599892904101,27.686,1
194,sugar maple,Upper,25.958800000000004,25.424570612105995,-0.5342293878940083,25.958800000000004,1
196,sugar maple,Upper,17.78,17.081520907892255,-0.6984790921077462,17.78,1
197,sugar maple,Upper,10.414,9.68325338088192,-0.7307466191180794,10.414,1
198,norway maple,Upper,50.165,46.532786455082004,-3.6322135449179953,50.165,1
199,sugar maple,Upper,5.842,5.477030225852557,-0.36496977414744247,5.842,1
2,sugar maple,Upper,20.32,19.803543317395,-0.5164566826049999,20.32,1
20,sugar maple,Upper,71.7042,65.365482938351,-6.338717061649007,71.7042,1
21,sugar maple,Upper,23.495,23.170791931553893,-0.32420806844610794,23.495,1
22,sugar maple,Upper,9.4742,8.808256044916098,-0.6659439550839021,9.4742,1
23,sugar maple,Upper,40.894000000000005,38.665227620735784,-2.228772379264221,40.894000000000005,1
24,sugar maple,Upper,19.812,19.247399499998096,-0.5646005000019052,19.812,1
26,sugar maple,Upper,34.925,33.37282080076991,-1.552179199230089,34.925,1
27,sugar maple,Upper,16.764,16.010994010798697,-0.7530059892013021,16.764,1
28,sugar maple,Upper,42.418,40.099030344204266,-2.3189696557957333,42.418,1
29,sugar maple,Upper,21.1582,20.72738069970723,-0.4308193002927716,21.1582,1
301,black birch,Lower,18.796000000000003,14.909690166152009,-3.886309833847994,18.796000000000003,1
303,sugar maple,Lower,24.053800000000003,23.122649292291346,-0.9311507077086567,24.053800000000003,1
307,beech,Lower,6.096,5.489326981854583,-0.6066730181454174,6.096,1
31,sugar maple,Upper,29.6672,28.797608909933963,-0.869591090066038,29.6672,1
310,black birch,Lower,6.604,4.710592777014984,-1.893407222985016,6.604,1
314,sugar maple,Lower,25.146,24.030587606205614,-1.1154123937943865,25.146,1
318,musclewood,Lower,7.62,2.6302144147726563,-4.989785585227343,7.62,1
319,musclewood,Lower,15.24,8.421927919232658,-6.818072080767342,15.24,1
32,sugar maple,Upper,43.815,41.41334950738371,-2.401650492616291,43.815,1
321,burning bush,Lower,5.8166,5.135103684375591,-0.6814963156244094,5.8166,1
322,pignut hickory,Lower,7.366,3.552956665212973,-3.8130433347870265,7.366,1
324,black birch,Lower,12.7,9.623657363375857,-3.076342636624142,12.7,1
326,musclewood,Lower,3.81,0.024764236989330723,-3.7852357630106694,3.81,1
329,musclewood,Lower,6.0198,1.5154634757610164,-4.504336524238983,6.0198,1
33,sugar maple,Upper,39.751000000000005,37.62231613614015,-2.1286838638598553,39.751000000000005,1
330,musclewood,Lower,5.7912,1.3560711928652704,-4.4351288071347295,5.7912,1
331,musclewood,Lower,5.08,0.860184090522946,-4.219815909477054,5.08,1
333,red maple,Lower,7.366,5.191645317551613,-2.174354682448387,7.366,1
334,musclewood,Lower,8.864600000000001,3.5284380040439767,-5.336161995956024,8.864600000000001,1
335,black oak,Lower,18.6182,16.873883718621443,-1.744316281378559,18.6182,1
336,pignut hickory,Lower,8.1788,4.0477632122372516,-4.131036787762749,8.1788,1
337,musclewood,Lower,9.6774,4.139761787246414,-5.537638212753587,9.6774,1
338,musclewood,Lower,49.784000000000006,32.00261245009669,-17.781387549903314,49.784000000000006,1
342,black birch,Lower,13.7668,10.547753871295319,-3.219046128704681,13.7668,1
343,musclewood,Lower,8.9154,3.566645740494127,-5.348754259505872,8.9154,1
346,black birch,Lower,38.4556,29.92948292583144,-8.526117074168557,38.4556,1
347,norway maple,Lower,10.8966,10.023926588874664,-0.8726734111253354,10.8966,1
348,musclewood,Lower,8.382,3.165464507767528,-5.216535492232472,8.382,1
349,musclewood,Lower,7.111999999999999,2.276780015678352,-4.835219984321647,7.111999999999999,1
35,sugar maple,Upper,19.05,18.43421144041141,-0.6157885595885908,19.05,1
350,musclewood,Lower,15.748,8.841492421686162,-6.906507578313837,15.748,1
351,musclewood,Lower,5.715,1.302940431900021,-4.412059568099979,5.715,1
354,musclewood,Lower,7.62,2.6302144147726563,-4.989785585227343,7.62,1
355,musclewood,Lower,5.08,0.860184090522946,-4.219815909477054,5.08,1
362,black birch,Lower,8.128,5.916434011429033,-2.2115659885709675,8.128,1
363,black birch,Lower,6.096,4.319648415421101,-1.776351584578899,6.096,1
364,white pine,Lower,30.226000000000003,24.740219153436662,-5.48578084656334,30.226000000000003,1
365,red oak,Lower,72.6694,70.56051681606601,-2.108883183933983,72.6694,1
367,black birch,Lower,32.918400000000005,25.809620908216544,-7.108779091783461,32.918400000000005,1
370,black birch,Lower,20.1676,16.096320430159324,-4.0712795698406765,20.1676,1
372,white pine,Lower,16.256,14.656696357852521,-1.599303642147479,16.256,1
373,black oak,Lower,27.6098,23.959783244787996,-3.650016755212004,27.6098,1
374,shagbark hickory,Lower,35.1536,33.7227259076833,-1.4308740923166994,35.1536,1
375,red oak,Lower,71.4502,69.50533507678809,-1.9448649232119095,71.4502,1
376,black birch,Lower,12.065,9.079145321365377,-2.985854678634622,12.065,1
379,sugar maple,Lower,20.955,20.546638262115962,-0.40836173788403585,20.955,1
38,sugar maple,Upper,35.56,33.92538262333464,-1.6346173766653607,35.56,1
380,red oak,Lower,69.39280000000001,67.80684992896732,-1.5859500710326841,69.39280000000001,1
381,white pine,Lower,18.923,16.68301536255211,-2.23998463744789,18.923,1
384,sugar maple,Lower,26.924,25.508626721880017,-1.4153732781199828,26.924,1
385,red oak,Lower,132.84199999999998,123.54148646280427,-9.300513537195712,132.84199999999998,1
386,sugar maple,Lower,24.638,23.608290716012938,-1.0297092839870636,24.638,1
388,sugar maple,Lower,21.082,20.652212484664137,-0.4297875153358639,21.082,1
389,red oak,Lower,84.328,80.66576828940615,-3.6622317105938578,84.328,1
39,sugar maple,Upper,6.35,5.937174249399249,-0.4128257506007502,6.35,1
390,sugar maple,Lower,28.194,26.564368947361732,-1.629631052638267,28.194,1
391,red maple,Lower,18.542,17.844988283435733,-0.6970117165642691,18.542,1
395,white pine,Lower,51.562000000000005,39.56888085993265,-11.993119140067357,51.562000000000005,1
396,red oak,Lower,70.15480000000001,68.41908126249874,-1.7357187375012728,70.15480000000001,1
397,red oak,Lower,89.15400000000001,84.88161976254064,-4.272380237459373,89.15400000000001,1
398,white pine,Lower,59.69,45.76962027391397,-13.920379726086026,59.69,1
40,sugar maple,Upper,43.18,40.815931705938496,-2.3640682940615037,43.18,1
401,beech,Middle,8.128,7.4219978675915,-0.7060021324085,8.128,1
404,sugar maple,Upper,9.7282,9.044741811393347,-0.683458188606652,9.7282,1
405,black birch,Lower,3.81,2.560068021973127,-1.249931978026873,3.81,1
406,musclewood,Lower,2.286,0.0,-2.286,2.286,1
407,autumn olive,Lower,2.7940000000000005,0.6686206236512028,-2.1253793763487976,2.7940000000000005,1
41,sugar maple,Upper,6.35,5.937174249399249,-0.4128257506007502,6.35,1
410,musclewood,Lower,2.159,0.0,-2.159,2.159,1
411,buckthorn,Lower,3.1496,2.5122210577580817,-0.6373789422419183,3.1496,1
413,black birch,Lower,3.175,2.073035826948365,-1.101964173051635,3.175,1
414,black birch,Lower,3.175,2.073035826948365,-1.101964173051635,3.175,1
415,musclewood,Lower,5.2578,0.9841558661085291,-4.27364413389147,5.2578,1
418,black birch,Lower,3.4036000000000004,2.248367417157279,-1.1552325828427215,3.4036000000000004,1
419,black birch,Lower,4.6482,3.2029505194058125,-1.4452494805941876,4.6482,1
422,musclewood,Lower,2.54,0.0,-2.54,2.54,1
423,black birch,Lower,3.175,2.073035826948365,-1.101964173051635,3.175,1
427,musclewood,Lower,2.54,0.0,-2.54,2.54,1
428,musclewood,Lower,2.7940000000000005,0.0,-2.7940000000000005,2.7940000000000005,1
429,musclewood,Lower,3.81,0.024764236989330723,-3.7852357630106694,3.81,1
432,burning bush,Lower,13.208,9.094921722107458,-4.1130782778925425,13.208,1
433,musclewood,Lower,3.5559999999999996,0.0,-3.5559999999999996,3.5559999999999996,1
434,red maple,Lower,1.7779999999999998,0.0,-1.7779999999999998,1.7779999999999998,1
435,red maple,Lower,3.048,0.7274181186923533,-2.3205818813076466,3.048,1
437,black birch,Lower,3.3274000000000004,2.189923553754307,-1.1374764462456932,3.3274000000000004,1
439,musclewood,Lower,1.4731999999999998,0.0,-1.4731999999999998,1.4731999999999998,1
44,sugar maple,Upper,46.99,44.29453780406527,-2.6954621959347307,46.99,1
440,musclewood,Lower,3.302,0.0,-3.302,3.302,1
441,musclewood,Lower,2.032,0.0,-2.032,2.032,1
442,musclewood,Lower,4.318,0.3399892938978656,-3.978010706102134,4.318,1
445,black birch,Lower,3.7592,2.521105446371148,-1.238094553628852,3.7592,1
446,black birch,Lower,4.1402,2.8133247633860052,-1.3268752366139949,4.1402,1
448,musclewood,Lower,4.064,0.18237676544359915,-3.881623234556401,4.064,1
45,norway maple,Upper,7.111999999999999,5.995512964268937,-1.116487035731062,7.111999999999999,1
451,sugar maple,Upper,34.925,33.37282080076991,-1.552179199230089,34.925,1
452,sugar maple,Upper,16.256,15.482788951451285,-0.7732110485487151,16.256,1
453,black birch,Lower,4.3688,2.98865635359492,-1.38014364640508,4.3688,1
454,sugar maple,Upper,17.272,16.546257459345476,-0.7257425406545224,17.272,1
455,sugar maple,Upper,37.592000000000006,35.712870397486526,-1.8791296025134798,37.592000000000006,1
456,sugar maple,Upper,6.096,5.707102237625905,-0.38889776237409546,6.096,1
459,red maple,Lower,11.684,9.991075683967926,-1.692924316032073,11.684,1
460,sugar maple,Upper,5.588000000000001,5.2469582140792115,-0.3410417859207895,5.588000000000001,1
461,sugar maple,Upper,25.019,24.565342878135663,-0.45365712186433527,25.019,1
462,sugar maple,Upper,9.398,8.73731031497292,-0.66068968502708,9.398,1
463,sugar maple,Upper,37.084,35.26358904721508,-1.8204109527849255,37.084,1
464,musclewood,Lower,5.588000000000001,1.2143891636246078,-4.373610836375393,5.588000000000001,1
465,sugar maple,Upper,37.465,35.60055005991866,-1.864449940081343,37.465,1
467,musclewood,Lower,12.2174,6.050148609754038,-6.167251390245962,12.2174,1
469,musclewood,Lower,4.318,0.3399892938978656,-3.978010706102134,4.318,1
47,sugar maple,Upper,34.798,33.26230843625697,-1.535691563743029,34.798,1
471,black birch,Lower,3.683,2.4626615829681753,-1.2203384170318246,3.683,1
473,sugar maple,Upper,7.62,7.081909949632169,-0.5380900503678312,7.62,1
474,musclewood,Lower,3.048,0.0,-3.048,3.048,1
475 (6),sugar maple,Upper,12.573,11.741011749734891,-0.831988250265109,12.573,1
478,sugar maple,Upper,15.24,14.431126527141906,-0.8088734728580942,15.24,1
48,sugar maple,Upper,21.844,21.487442665712276,-0.35655733428772507,21.844,1
480 (200),sugar maple,Upper,27.305,26.666197968681065,-0.6388020313189351,27.305,1
481,musclewood,Lower,7.62,2.6302144147726563,-4.989785585227343,7.62,1
482,white pine,Lower,19.685,17.261963649609132,-2.4230363503908663,19.685,1
485,black birch,Lower,10.5664,7.845779986491511,-2.720620013508489,10.5664,1
